update_id,battery_id,vehicle_id,charge_level_before,charge_level_after,timestamp
1,26,26,17.25,26.33681837596904,2025-04-15 22:03:18
2,36,36,64.8,73.92610377686115,2025-04-01 19:51:28
3,14,14,38.24,46.44039336585264,2025-04-15 10:54:54
4,32,32,35.34,41.296311708121415,2025-04-01 12:11:59
5,37,37,64.7,71.76804677707855,2025-04-09 00:13:42
6,40,40,85.9,93.04992083573549,2025-04-11 10:30:41
7,8,8,45.71,53.60116828433464,2025-04-03 21:48:25
8,47,47,45.54,47.468016124274826,2025-04-06 15:04:32
9,39,39,67.53,77.34189801972103,2025-04-06 02:13:28
10,21,21,88.13,95.2486860459327,2025-04-16 15:28:08
11,25,25,86.45,95.15027567175547,2025-04-16 09:03:54
12,50,50,36.06,41.85580913943903,2025-04-04 22:58:43
13,44,44,32.46,40.10836960049966,2025-04-09 14:14:01
14,29,29,87.67,88.70141744961661,2025-04-15 19:07:08
15,18,18,45.74,55.510831333366866,2025-04-16 15:37:37
16,44,44,22.4,24.42836637208834,2025-04-10 16:59:00
17,16,16,78.85,88.25745452710686,2025-04-13 20:54:38
18,42,42,41.34,45.864516831602,2025-04-01 15:59:26
19,22,22,62.49,70.59263736801168,2025-04-14 23:28:55
20,22,22,71.57,74.63611413499919,2025-04-13 03:52:11
21,1,1,37.72,45.66814501145171,2025-04-07 04:42:48
22,18,18,67.15,71.51585312055845,2025-04-04 09:29:37
23,2,2,79.91,85.9543370063806,2025-04-17 20:51:25
24,26,26,26.82,33.43933794774809,2025-04-06 07:00:22
25,11,11,52.27,60.31655077531251,2025-04-02 05:44:28
26,25,25,26.59,33.814968308694084,2025-04-04 19:53:06
27,40,40,61.58,69.61486393442651,2025-04-03 11:55:53
28,14,14,47.27,55.758922434081725,2025-04-09 20:10:44
29,34,34,82.58,85.45588011159549,2025-04-05 13:49:15
30,34,34,39.43,48.13868611252664,2025-04-06 11:04:00
31,48,48,32.36,40.35692278345051,2025-04-02 14:06:42
32,47,47,56.19,63.01066630081473,2025-04-13 03:20:15
33,41,41,48.84,52.893408467318466,2025-04-05 21:30:45
34,49,49,89.64,98.6546649908779,2025-04-05 11:30:56
35,15,15,46.26,49.71302049689598,2025-04-10 22:02:20
36,48,48,49.06,57.1204751151694,2025-04-14 04:28:34
37,29,29,15.89,21.098621324098684,2025-04-04 14:17:38
38,42,42,87.83,92.01092428957344,2025-04-11 12:43:14
39,24,24,61.88,67.37499228584007,2025-04-16 04:51:19
40,48,48,27.36,33.60197845957478,2025-04-07 17:12:36
41,5,5,56.34,60.27630702130823,2025-04-03 19:17:00
42,33,33,30.85,33.54450029135748,2025-04-06 04:21:39
43,41,41,28.68,32.96038457575422,2025-04-14 09:47:20
44,46,46,70.2,77.3498975164344,2025-04-12 07:22:35
45,18,18,62.67,66.3474062303577,2025-04-07 06:00:42
46,3,3,61.94,65.5374010839719,2025-04-04 15:57:19
47,34,34,74.7,77.84383297783748,2025-04-11 04:10:07
48,50,50,57.62,62.18899632943746,2025-04-11 01:27:00
49,40,40,41.18,42.38262841430232,2025-04-14 05:44:56
50,12,12,77.45,86.27196421096406,2025-04-09 09:43:03
51,48,48,37.81,43.535448986294014,2025-04-08 16:19:08
52,11,11,68.09,69.70338137896454,2025-04-17 17:27:07
53,14,14,29.96,32.60777093775639,2025-04-02 08:01:37
54,33,33,10.21,15.853503575242542,2025-04-16 02:11:02
55,35,35,62.12,70.15024535082964,2025-04-05 20:20:16
56,9,9,42.29,50.620290659323125,2025-04-11 08:08:42
57,24,24,27.36,33.44647378061537,2025-04-10 06:55:34
58,29,29,70.02,77.60193839220265,2025-04-02 05:22:02
59,38,38,26.51,33.94615350742433,2025-04-16 10:54:04
60,16,16,20.6,23.418593939526012,2025-04-09 11:09:30
61,45,45,45.86,51.474574185966624,2025-04-14 08:52:56
62,19,19,79.43,88.22495384662861,2025-04-09 23:54:19
63,13,13,29.11,35.74675568382212,2025-04-08 17:45:39
64,33,33,78.66,87.8059282952569,2025-04-10 20:08:35
65,19,19,66.2,75.37207116108156,2025-04-12 03:27:54
66,4,4,74.18,81.12571374502545,2025-04-01 14:02:59
67,8,8,79.37,84.07172845796816,2025-04-11 09:11:42
68,6,6,21.25,26.10365693897198,2025-04-08 17:41:12
69,37,37,21.57,30.695360584286902,2025-04-13 20:15:19
70,6,6,52.27,57.6100808779908,2025-04-07 14:31:44
71,3,3,60.13,62.49518287009234,2025-04-05 09:16:01
72,43,43,25.4,32.318128685076104,2025-04-02 04:59:18
73,42,42,73.71,83.13527763540145,2025-04-14 18:40:28
74,35,35,12.95,15.938575356716825,2025-04-02 04:01:16
75,37,37,67.32,68.87420651717521,2025-04-09 20:01:07
76,20,20,54.38,56.52779577467112,2025-04-10 04:21:20
77,43,43,60.84,66.28527206747975,2025-04-06 02:04:59
78,11,11,84.59,86.88122538126719,2025-04-05 18:30:32
79,48,48,63.57,69.26579228013075,2025-04-07 10:59:50
80,48,48,45.26,52.80795877078982,2025-04-02 10:14:07
81,12,12,81.75,90.03924552755875,2025-04-11 12:20:47
82,28,28,22.71,28.627741235010923,2025-04-08 09:26:34
83,44,44,24.19,33.35980145660554,2025-04-17 02:01:57
84,14,14,88.39,93.99224484443269,2025-04-04 00:41:33
85,35,35,55.11,64.0974184099142,2025-04-08 16:47:34
86,43,43,73.51,80.40386224342865,2025-04-16 05:10:20
87,19,19,18.68,21.278957818181343,2025-04-03 19:33:46
88,44,44,25.7,26.765669019499665,2025-04-06 03:01:02
89,6,6,14.57,21.04790601441131,2025-04-09 06:40:27
90,18,18,86.14,93.99849518227208,2025-04-14 16:02:14
91,37,37,50.64,53.44596886205549,2025-04-01 02:05:12
92,22,22,10.74,12.916968938559895,2025-04-09 00:34:59
93,33,33,67.96,76.85303501454686,2025-04-14 23:47:15
94,43,43,55.34,57.46586960913597,2025-04-07 18:57:22
95,37,37,52.44,58.8559422785123,2025-04-06 13:06:19
96,11,11,63.87,69.31771951112268,2025-04-01 08:00:25
97,37,37,26.85,29.066637929836993,2025-04-09 14:21:39
98,2,2,45.34,52.28032697401968,2025-04-03 03:38:46
99,47,47,79.52,82.2772505277012,2025-04-04 06:33:18
100,38,38,79.95,89.67144112827592,2025-04-05 19:28:35
101,22,22,10.75,20.46372850717851,2025-04-05 05:07:45
102,8,8,79.16,85.4583245567925,2025-04-05 09:46:30
103,34,34,40.16,41.48336085056019,2025-04-06 11:31:54
104,14,14,21.15,23.54875194114367,2025-04-07 11:37:29
